,beta,HR (95% CI for HR),wald.test,p.value
TBC1D5,-0.89,0.41 (0.23-0.73),9.3,0.0023
SERPINF2,0.39,1.5 (1.2-1.9),9.3,0.0023
FAM20A,0.24,1.3 (1.1-1.5),9.3,0.0023
EEF1D,-0.61,0.55 (0.37-0.81),9.3,0.0023
CPNE8,0.28,1.3 (1.1-1.6),9.3,0.0023
YKT6,0.88,2.4 (1.4-4.3),9.2,0.0024
SAT1,0.54,1.7 (1.2-2.4),9.2,0.0024
PCMT1,-0.89,0.41 (0.23-0.73),9.2,0.0024
OR2A9P,0.49,1.6 (1.2-2.2),9.2,0.0024
NME2,0.74,2.1 (1.3-3.4),9.2,0.0024
LENG9,0.38,1.5 (1.1-1.9),9.2,0.0024
FOXD2,0.2,1.2 (1.1-1.4),9.2,0.0024
RPL13,-0.68,0.51 (0.33-0.79),9.2,0.0025
RGAG1,-0.42,0.65 (0.5-0.86),9.1,0.0025
FCGBP,0.17,1.2 (1.1-1.3),9.1,0.0025
DERL3,0.32,1.4 (1.1-1.7),9.2,0.0025
CACNG4,-0.28,0.76 (0.63-0.91),9.2,0.0025
ADAM8,-0.34,0.71 (0.57-0.89),9.1,0.0025
UPB1,-0.47,0.62 (0.46-0.85),9.1,0.0026
RPL10A,-0.83,0.44 (0.26-0.75),9,0.0026
HTATSF1,-1,0.37 (0.19-0.7),9.1,0.0026
HKDC1,-0.23,0.8 (0.69-0.92),9.1,0.0026
GLG1,1.3,3.9 (1.6-9.3),9,0.0026
EDA,-0.47,0.62 (0.46-0.85),9.1,0.0026
DTX3,-1.2,0.31 (0.15-0.67),9.1,0.0026
DFNB59,-0.56,0.57 (0.4-0.82),9.1,0.0026
CAPN1,0.81,2.3 (1.3-3.8),9,0.0026
ARHGEF5,0.36,1.4 (1.1-1.8),9.1,0.0026
WSCD1,0.39,1.5 (1.1-1.9),9,0.0027
SPAG9,-0.97,0.38 (0.2-0.71),9,0.0027
MOAP1,-0.61,0.55 (0.37-0.81),9,0.0027
FAM131C,-0.22,0.8 (0.69-0.93),9,0.0027
ELP2P,-0.58,0.56 (0.38-0.82),9,0.0027
CLIC4,0.49,1.6 (1.2-2.2),9,0.0027
CKMT1A,-0.19,0.82 (0.72-0.93),9,0.0027
C14orf169,0.44,1.5 (1.2-2.1),9,0.0027
X8.Sep,-0.74,0.48 (0.29-0.77),8.9,0.0028
WSCD2,-0.16,0.85 (0.76-0.95),8.9,0.0028
TRRAP,0.85,2.3 (1.3-4.1),8.9,0.0028
TMEM37,0.37,1.4 (1.1-1.8),9,0.0028
SPATA6,0.31,1.4 (1.1-1.7),8.9,0.0028
PPP1CB,1,2.8 (1.4-5.4),8.9,0.0028
LOC283761,-0.23,0.8 (0.69-0.93),8.9,0.0028
LOC100130148,-0.36,0.7 (0.55-0.88),8.9,0.0028
ADM,0.22,1.2 (1.1-1.4),9,0.0028
ADAMTS7,0.21,1.2 (1.1-1.4),9,0.0028
UBE2E1,-0.82,0.44 (0.26-0.76),8.9,0.0029
TRAF3IP3,0.28,1.3 (1.1-1.6),8.9,0.0029
MOSC2,0.27,1.3 (1.1-1.6),8.9,0.0029
LY96,0.32,1.4 (1.1-1.7),8.9,0.0029
LOC619207,-0.29,0.75 (0.62-0.91),8.8,0.0029
LDOC1L,-0.7,0.49 (0.31-0.79),8.9,0.0029
LCN12,-0.29,0.75 (0.62-0.91),8.8,0.0029
HSPB9,-0.51,0.6 (0.43-0.84),8.9,0.0029
CRIP1,0.24,1.3 (1.1-1.5),8.9,0.0029
CLEC7A,0.26,1.3 (1.1-1.5),8.9,0.0029
CHODL,0.27,1.3 (1.1-1.6),8.9,0.0029
WDFY3,-0.67,0.51 (0.33-0.8),8.8,0.003
RPN1,1.3,3.6 (1.5-8.3),8.8,0.003
RIPK3,0.34,1.4 (1.1-1.8),8.8,0.003
OAZ1,0.88,2.4 (1.4-4.3),8.8,0.003
NDUFC2,-1.4,0.24 (0.093-0.62),8.8,0.003
KAZ,-0.44,0.64 (0.48-0.86),8.8,0.003
FOXD1,0.22,1.3 (1.1-1.5),8.8,0.003
CALR,0.8,2.2 (1.3-3.8),8.8,0.003
C15orf21,0.66,1.9 (1.3-3),8.8,0.003
BAI1,-0.24,0.79 (0.67-0.92),8.8,0.003
STRC,-0.39,0.68 (0.52-0.88),8.7,0.0031
SF3B2,-1.2,0.29 (0.13-0.66),8.7,0.0031
SEC63,-1.1,0.33 (0.16-0.69),8.7,0.0031
SASS6,0.7,2 (1.3-3.2),8.8,0.0031
MYL12B,0.86,2.4 (1.3-4.1),8.8,0.0031
GTF3C1,1.6,5.1 (1.7-15),8.7,0.0031
EIF4A2,-0.9,0.41 (0.23-0.74),8.8,0.0031
CYP4F11,0.3,1.4 (1.1-1.6),8.7,0.0031
SYT11,-0.58,0.56 (0.38-0.82),8.7,0.0032
SFRS5,-0.67,0.51 (0.33-0.8),8.7,0.0032
PRR19,0.57,1.8 (1.2-2.6),8.7,0.0032
PI15,0.24,1.3 (1.1-1.5),8.7,0.0032
NDUFS2,-1.5,0.22 (0.078-0.6),8.7,0.0032
GUCA1B,-0.38,0.68 (0.53-0.88),8.7,0.0032
EN2,0.17,1.2 (1.1-1.3),8.7,0.0032
APEX1,-0.92,0.4 (0.22-0.73),8.7,0.0032
SIK3,-0.67,0.51 (0.33-0.8),8.6,0.0033
RCC2,0.65,1.9 (1.2-2.9),8.6,0.0033
FDPS,-1.1,0.35 (0.17-0.7),8.6,0.0033
C1orf220,-0.4,0.67 (0.51-0.87),8.6,0.0033
C11orf59,-1.3,0.28 (0.12-0.66),8.6,0.0033
TCAP,-0.57,0.57 (0.39-0.83),8.6,0.0034
SLC6A1,-0.37,0.69 (0.54-0.89),8.6,0.0034
SC5DL,-0.72,0.49 (0.3-0.79),8.6,0.0034
PSTPIP2,0.32,1.4 (1.1-1.7),8.6,0.0034
PDE1C,0.21,1.2 (1.1-1.4),8.6,0.0034
MCM9,0.72,2 (1.3-3.3),8.6,0.0034
DNER,-0.52,0.6 (0.42-0.84),8.6,0.0034
C6orf52,-0.48,0.62 (0.45-0.85),8.6,0.0034
TSPYL2,-0.37,0.69 (0.54-0.89),8.5,0.0035
TLN1,0.8,2.2 (1.3-3.8),8.5,0.0035
LRRN1,-0.4,0.67 (0.51-0.88),8.5,0.0035
GSTO2,-0.43,0.65 (0.49-0.87),8.6,0.0035
GRIK1,0.16,1.2 (1.1-1.3),8.5,0.0035
EPHX1,-0.6,0.55 (0.37-0.82),8.5,0.0035
RPL35A,-0.73,0.48 (0.3-0.79),8.5,0.0036
RPL30,-0.56,0.57 (0.39-0.83),8.5,0.0036
PLA2R1,0.24,1.3 (1.1-1.5),8.5,0.0036
MSX2,-0.18,0.83 (0.74-0.94),8.5,0.0036
MFSD9,0.87,2.4 (1.3-4.3),8.4,0.0036
MASP1,-0.3,0.74 (0.6-0.91),8.5,0.0036
CLEC4A,0.42,1.5 (1.1-2),8.5,0.0036
CCDC87,-0.48,0.62 (0.45-0.86),8.5,0.0036
C1orf94,-0.3,0.74 (0.61-0.91),8.5,0.0036
ZFP106,0.85,2.3 (1.3-4.2),8.4,0.0037
PSMD4,-1.6,0.2 (0.066-0.59),8.4,0.0037
IGFBP6,0.26,1.3 (1.1-1.5),8.4,0.0037
HAPLN3,0.29,1.3 (1.1-1.6),8.4,0.0037
FLJ39582,-0.33,0.72 (0.57-0.9),8.4,0.0037
EPB41L2,-0.54,0.58 (0.41-0.84),8.4,0.0037
DNAJB1,0.35,1.4 (1.1-1.8),8.4,0.0037
COL27A1,0.22,1.2 (1.1-1.5),8.4,0.0037
CDC42,0.86,2.4 (1.3-4.2),8.4,0.0037
ANKRD58,0.3,1.3 (1.1-1.6),8.4,0.0037
AKR1C2,-0.27,0.76 (0.64-0.92),8.4,0.0037
CCRL2,0.38,1.5 (1.1-1.9),8.4,0.0038
SPARC,-0.27,0.76 (0.63-0.92),8.4,0.0039
PLCD3,-0.55,0.58 (0.4-0.84),8.4,0.0039
PHLDA1,-0.31,0.73 (0.59-0.9),8.3,0.0039
FAM113B,0.34,1.4 (1.1-1.8),8.3,0.0039
CCDC134,0.79,2.2 (1.3-3.8),8.3,0.0039
ABCB4,0.35,1.4 (1.1-1.8),8.3,0.0039
STXBP6,-0.25,0.78 (0.65-0.92),8.3,0.004
SLC23A2,-0.79,0.46 (0.27-0.78),8.3,0.004
SCN3B,-0.18,0.83 (0.74-0.94),8.3,0.004
PYROXD2,0.28,1.3 (1.1-1.6),8.3,0.004
KIAA0430,-0.93,0.39 (0.21-0.74),8.3,0.004
ZNF835,0.62,1.9 (1.2-2.8),8.2,0.0041
SYP,-0.3,0.74 (0.6-0.91),8.2,0.0041
LIPT2,0.71,2 (1.3-3.3),8.2,0.0041
DNMT3B,0.54,1.7 (1.2-2.5),8.2,0.0041
BCAP31,1.1,3 (1.4-6.4),8.2,0.0041
PGBD2,0.88,2.4 (1.3-4.4),8.2,0.0042
FN1,0.27,1.3 (1.1-1.6),8.2,0.0042
CNKSR1,-0.29,0.75 (0.61-0.91),8.2,0.0042
CMC1,0.8,2.2 (1.3-3.8),8.2,0.0042
ADAM9,0.51,1.7 (1.2-2.4),8.2,0.0042
SUPT16H,-0.93,0.4 (0.21-0.75),8.2,0.0043
SPOCK1,-0.31,0.74 (0.6-0.91),8.1,0.0043
PRDM11,-0.54,0.58 (0.4-0.84),8.2,0.0043
LARS,-1.1,0.33 (0.15-0.71),8.2,0.0043
ZNF843,-0.48,0.62 (0.45-0.86),8.1,0.0044
PLD3,0.47,1.6 (1.2-2.2),8.1,0.0044
C9orf68,0.4,1.5 (1.1-2),8.1,0.0044
WDR6,-0.71,0.49 (0.3-0.8),8.1,0.0045
SLC16A1,0.51,1.7 (1.2-2.4),8.1,0.0045
RNASE2,0.18,1.2 (1.1-1.4),8.1,0.0045
CX3CL1,-0.49,0.61 (0.44-0.86),8.1,0.0045
CCL5,0.23,1.3 (1.1-1.5),8.1,0.0045
CCDC135,0.16,1.2 (1.1-1.3),8.1,0.0045
BCMO1,0.28,1.3 (1.1-1.6),8.1,0.0045
UBXN4,1.4,4 (1.5-10),8,0.0046
SIRPB2,0.26,1.3 (1.1-1.6),8,0.0046
PLAG1,0.3,1.3 (1.1-1.7),8,0.0046
FAM84B,-0.28,0.76 (0.62-0.92),8,0.0046
DPY19L2P2,0.33,1.4 (1.1-1.8),8,0.0046
CDC42EP5,0.31,1.4 (1.1-1.7),8,0.0046
X7.Sep,0.97,2.6 (1.3-5.2),8,0.0047
RPS20,-0.67,0.51 (0.32-0.81),8,0.0047
PCDHB8,0.22,1.2 (1.1-1.5),8,0.0047
MYL3,-0.25,0.78 (0.66-0.93),8,0.0047
LOC90246,-0.34,0.71 (0.56-0.9),8,0.0047
HLA.A,0.4,1.5 (1.1-2),8,0.0047
HAS3,0.4,1.5 (1.1-2),8,0.0047
ZC3H7B,-0.76,0.47 (0.28-0.79),8,0.0048
YDJC,0.35,1.4 (1.1-1.8),8,0.0048
CCT3,-1,0.36 (0.18-0.73),7.9,0.0048
BCO2,0.35,1.4 (1.1-1.8),8,0.0048
SLC22A18,0.37,1.5 (1.1-1.9),7.9,0.0049
LRPAP1,0.8,2.2 (1.3-3.9),7.9,0.0049
GNGT2,0.36,1.4 (1.1-1.8),7.9,0.0049
FAM168B,-1.3,0.29 (0.12-0.68),7.9,0.0049
C9orf24,0.16,1.2 (1-1.3),7.9,0.0049
TSPYL1,-0.69,0.5 (0.31-0.81),7.9,0.005
ST14,0.22,1.2 (1.1-1.4),7.9,0.005
RHOB,-0.46,0.63 (0.45-0.87),7.9,0.005
HIPK1,0.67,2 (1.2-3.1),7.9,0.005
EPHA10,-0.22,0.81 (0.69-0.94),7.9,0.005
ELL3,0.53,1.7 (1.2-2.4),7.9,0.005
CMTM4,-0.52,0.59 (0.41-0.85),7.9,0.005
CLU,0.32,1.4 (1.1-1.7),7.9,0.005
BAIAP2L2,-0.36,0.69 (0.54-0.9),7.9,0.005
TMEM9B,-0.82,0.44 (0.25-0.78),7.8,0.0051
HSD17B4,-1.1,0.35 (0.16-0.73),7.8,0.0051
C21orf58,0.4,1.5 (1.1-2),7.8,0.0051
ANKAR,0.47,1.6 (1.2-2.2),7.8,0.0051
ALK,0.22,1.2 (1.1-1.4),7.8,0.0051
SIRT2,-0.53,0.59 (0.41-0.85),7.8,0.0052
PRH2,-0.58,0.56 (0.37-0.84),7.8,0.0052
NOVA1,-0.49,0.61 (0.43-0.86),7.8,0.0052
MET,0.17,1.2 (1.1-1.3),7.8,0.0052
C21orf88,0.26,1.3 (1.1-1.6),7.8,0.0052
B9D2,0.43,1.5 (1.1-2.1),7.8,0.0052
SYCP2,-0.3,0.74 (0.6-0.91),7.8,0.0053
PMP22,0.41,1.5 (1.1-2),7.8,0.0053
ITGAV,0.61,1.8 (1.2-2.8),7.8,0.0053
HSPA6,0.16,1.2 (1-1.3),7.8,0.0053
LRRC25,0.28,1.3 (1.1-1.6),7.7,0.0054
EGLN1,-1.1,0.35 (0.17-0.73),7.7,0.0054
CS,-1.2,0.31 (0.14-0.71),7.7,0.0054
COL22A1,0.13,1.1 (1-1.2),7.7,0.0054
TUBA1B,0.58,1.8 (1.2-2.7),7.7,0.0055
ST6GALNAC2,0.23,1.3 (1.1-1.5),7.7,0.0055
RALY,1.1,2.9 (1.4-6.1),7.7,0.0055
RAB3IP,-0.32,0.73 (0.58-0.91),7.7,0.0055
POPDC2,0.67,2 (1.2-3.1),7.7,0.0055
PDZD7,-0.29,0.75 (0.61-0.92),7.7,0.0055
MTMR3,-0.85,0.43 (0.23-0.78),7.7,0.0055
IVNS1ABP,-0.75,0.47 (0.28-0.8),7.7,0.0055
IPO7,-0.68,0.51 (0.31-0.82),7.7,0.0055
GOLGA6L5,-0.45,0.64 (0.47-0.88),7.7,0.0055
C20orf202,-0.55,0.58 (0.39-0.85),7.7,0.0055
ADRA2B,0.29,1.3 (1.1-1.6),7.7,0.0055
TLR1,0.28,1.3 (1.1-1.6),7.7,0.0056
PTPLAD1,-0.73,0.48 (0.29-0.81),7.7,0.0056
PEG10,-0.26,0.77 (0.64-0.93),7.7,0.0056
IL28RA,0.24,1.3 (1.1-1.5),7.7,0.0056
HYOU1,0.8,2.2 (1.3-3.9),7.7,0.0056
LRRC3,-0.29,0.75 (0.61-0.92),7.6,0.0057
KCTD16,-0.3,0.74 (0.6-0.92),7.6,0.0057
C14orf145,0.57,1.8 (1.2-2.7),7.6,0.0057
TFEC,0.29,1.3 (1.1-1.6),7.6,0.0058
RPL23,-0.54,0.58 (0.4-0.86),7.6,0.0058
LOC147804,0.5,1.7 (1.2-2.4),7.6,0.0058
LIMCH1,-0.46,0.63 (0.46-0.88),7.6,0.0058
LDHA,0.41,1.5 (1.1-2),7.6,0.0058
FOXD4,-0.43,0.65 (0.48-0.88),7.6,0.0058
ENTPD7,0.65,1.9 (1.2-3),7.6,0.0058
SIGLEC9,0.26,1.3 (1.1-1.6),7.6,0.0059
SFRS6,-0.6,0.55 (0.36-0.84),7.6,0.0059
SEMA3F,0.28,1.3 (1.1-1.6),7.6,0.0059
RBM20,0.35,1.4 (1.1-1.8),7.6,0.0059
LOC645676,-0.61,0.55 (0.35-0.84),7.6,0.0059
CORO6,-0.21,0.81 (0.7-0.94),7.6,0.0059
CHAC1,0.24,1.3 (1.1-1.5),7.6,0.0059
HTRA1,-0.46,0.63 (0.46-0.88),7.6,0.006
DPY19L2P1,0.22,1.2 (1.1-1.5),7.6,0.006
CNTN1,-0.2,0.82 (0.71-0.95),7.5,0.0061
CAPNS1,0.72,2.1 (1.2-3.4),7.5,0.0061
AKAP11,-0.55,0.58 (0.39-0.85),7.5,0.0061
TTLL13,-0.5,0.61 (0.43-0.87),7.5,0.0062
PCDHB13,0.46,1.6 (1.1-2.2),7.5,0.0062
HLA.E,0.44,1.5 (1.1-2.1),7.5,0.0062
B4GALT5,0.64,1.9 (1.2-3),7.5,0.0062
FAM115C,0.28,1.3 (1.1-1.6),7.4,0.0063
ENOPH1,-1.2,0.32 (0.14-0.72),7.4,0.0063
EGR1,0.19,1.2 (1.1-1.4),7.4,0.0063
CLTA,-1.2,0.31 (0.13-0.72),7.4,0.0063
USP7,-1.7,0.18 (0.053-0.62),7.4,0.0064
TIGD4,0.48,1.6 (1.1-2.3),7.4,0.0065
NFKBIA,-0.51,0.6 (0.42-0.87),7.4,0.0065
LRIT3,-0.43,0.65 (0.48-0.89),7.4,0.0065
LOC642826,-0.36,0.7 (0.54-0.9),7.4,0.0065
ZNF782,0.71,2 (1.2-3.4),7.4,0.0066
PRPF19,-1.4,0.24 (0.086-0.67),7.4,0.0066
BCAR1,-0.62,0.54 (0.34-0.84),7.4,0.0066
RNF32,-0.3,0.74 (0.59-0.92),7.4,0.0067
PHB2,-0.81,0.45 (0.25-0.8),7.4,0.0067
HLA.G,0.25,1.3 (1.1-1.5),7.4,0.0067
ZNF275,-0.57,0.57 (0.38-0.85),7.3,0.0068
SEZ6L,-0.2,0.82 (0.71-0.95),7.3,0.0068
SEC62,-1.1,0.32 (0.14-0.73),7.3,0.0069
PRKCA,-0.56,0.57 (0.38-0.86),7.3,0.0069
MYSM1,0.43,1.5 (1.1-2.1),7.3,0.0069
CTSF,-0.68,0.51 (0.31-0.83),7.3,0.0069
PACS1,0.96,2.6 (1.3-5.2),7.3,0.007
LOC284837,0.49,1.6 (1.1-2.3),7.3,0.007
LOC100130093,0.43,1.5 (1.1-2.1),7.3,0.007
ESR1,0.36,1.4 (1.1-1.9),7.3,0.007
DDX24,-0.76,0.47 (0.27-0.81),7.3,0.007
TRIM17,-0.27,0.76 (0.63-0.93),7.2,0.0071
TCTE1,-0.33,0.72 (0.57-0.92),7.2,0.0071
STX11,0.29,1.3 (1.1-1.7),7.2,0.0071
NPC2,0.44,1.5 (1.1-2.1),7.2,0.0071
LOC100130581,-0.63,0.53 (0.34-0.84),7.2,0.0071
HMGCS1,-0.43,0.65 (0.47-0.89),7.2,0.0071
CNTN4,-0.21,0.81 (0.7-0.94),7.2,0.0071
PROM2,-0.38,0.68 (0.51-0.9),7.2,0.0072
MATN1,0.41,1.5 (1.1-2),7.2,0.0072
DDX17,-0.83,0.44 (0.24-0.8),7.2,0.0072
IQCC,0.63,1.9 (1.2-3),7.2,0.0073
CHD8,-0.84,0.43 (0.23-0.8),7.2,0.0073
C5orf35,0.55,1.7 (1.2-2.6),7.2,0.0073
PHGDH,-0.43,0.65 (0.47-0.89),7.2,0.0074
GLO1,-1.3,0.26 (0.1-0.7),7.2,0.0074
DNASE1L2,-0.33,0.72 (0.56-0.91),7.2,0.0074
CDCA3,0.28,1.3 (1.1-1.6),7.2,0.0074
AAMP,-1.6,0.2 (0.061-0.65),7.2,0.0074
SVEP1,0.23,1.3 (1.1-1.5),7.1,0.0075
RPL13AP3,-0.41,0.66 (0.49-0.9),7.2,0.0075
FTL,0.4,1.5 (1.1-2),7.2,0.0075
B2M,0.41,1.5 (1.1-2),7.1,0.0075
SLC4A4,-0.34,0.71 (0.56-0.91),7.1,0.0076
POLDIP2,-1.5,0.22 (0.07-0.67),7.1,0.0076
MAPK8IP3,-0.69,0.5 (0.3-0.83),7.1,0.0076
LOC400940,-0.24,0.79 (0.66-0.94),7.1,0.0077
HIST2H2BF,0.39,1.5 (1.1-2),7.1,0.0077
TRIM34,0.36,1.4 (1.1-1.9),7.1,0.0078
TRAIP,0.38,1.5 (1.1-1.9),7.1,0.0078
PFDN5,-0.94,0.39 (0.19-0.78),7.1,0.0078
CCND2,0.32,1.4 (1.1-1.8),7.1,0.0078
C1QB,0.25,1.3 (1.1-1.5),7.1,0.0078
ARMC2,0.31,1.4 (1.1-1.7),7.1,0.0078
RSPH10B2,0.22,1.3 (1.1-1.5),7.1,0.0079
OLFM1,-0.26,0.77 (0.63-0.93),7.1,0.0079
EFHB,-0.23,0.79 (0.67-0.94),7.1,0.0079
C8orf51,0.33,1.4 (1.1-1.8),7.1,0.0079
TMED2,0.98,2.7 (1.3-5.5),7,0.008
SPDYE3,0.67,2 (1.2-3.2),7,0.008
HNRNPH1,0.92,2.5 (1.3-4.9),7,0.008
GPR133,0.28,1.3 (1.1-1.6),7,0.008
CACNA1I,-0.2,0.82 (0.71-0.95),7,0.008
WASF2,0.59,1.8 (1.2-2.8),7,0.0081
FAM186B,0.55,1.7 (1.2-2.6),7,0.0081
BIN1,-0.5,0.6 (0.42-0.88),7,0.0081
PDGFRL,0.31,1.4 (1.1-1.7),7,0.0082
FUT4,0.36,1.4 (1.1-1.9),7,0.0082
FIBCD1,-0.24,0.79 (0.66-0.94),7,0.0082
ATP6V0D1,-1.1,0.35 (0.16-0.76),7,0.0082
KAL1,-0.26,0.77 (0.64-0.94),7,0.0083
C6orf155,-0.35,0.71 (0.54-0.91),7,0.0083
ARHGAP31,-0.43,0.65 (0.47-0.9),7,0.0083
SLC26A4,0.25,1.3 (1.1-1.5),7,0.0084
PRDX2,-0.94,0.39 (0.19-0.79),6.9,0.0084
CTNND2,-0.65,0.52 (0.32-0.85),7,0.0084
CTNND1,0.85,2.3 (1.2-4.4),7,0.0084
C11orf52,-0.28,0.75 (0.61-0.93),7,0.0084
ZC3H11A,0.57,1.8 (1.2-2.7),6.9,0.0085
RER1,0.98,2.7 (1.3-5.6),6.9,0.0085
TMED10P1,0.63,1.9 (1.2-3),6.9,0.0086
SBF1,-0.74,0.48 (0.28-0.83),6.9,0.0086
SALL1,0.57,1.8 (1.2-2.7),6.9,0.0086
KIF3C,-0.4,0.67 (0.5-0.9),6.9,0.0086
IL20RB,-0.47,0.63 (0.44-0.89),6.9,0.0087
COCH,0.25,1.3 (1.1-1.5),6.9,0.0087
TNR,-0.12,0.88 (0.81-0.97),6.9,0.0088
NUFIP2,1.1,3.1 (1.3-7.2),6.9,0.0088
DOK2,0.22,1.2 (1.1-1.5),6.9,0.0088
CSF2RB,0.26,1.3 (1.1-1.6),6.9,0.0088
A2M,0.4,1.5 (1.1-2),6.8,0.0088
PINK1,-0.54,0.58 (0.39-0.87),6.8,0.0089
NAT1,0.35,1.4 (1.1-1.9),6.8,0.0089
ITGB4,0.22,1.2 (1.1-1.5),6.8,0.0089
TNFRSF10D,0.31,1.4 (1.1-1.7),6.8,0.009
PRPH,0.26,1.3 (1.1-1.6),6.8,0.009
PACS2,-0.69,0.5 (0.3-0.84),6.8,0.009
LSM14A,0.67,1.9 (1.2-3.2),6.8,0.009
LEKR1,0.3,1.4 (1.1-1.7),6.8,0.009
ZNF69,0.48,1.6 (1.1-2.3),6.8,0.0091
METTL9,-1.3,0.29 (0.11-0.73),6.8,0.0091
LOC387646,0.28,1.3 (1.1-1.6),6.8,0.0091
FTO,-0.98,0.38 (0.18-0.78),6.8,0.0091
FBXL16,-0.28,0.76 (0.61-0.93),6.8,0.0091
C16orf45,-0.7,0.5 (0.3-0.84),6.8,0.0091
CRKL,-0.95,0.39 (0.19-0.79),6.8,0.0092
CCT7,-1.2,0.29 (0.12-0.74),6.8,0.0092
ACP5,0.17,1.2 (1-1.3),6.8,0.0092
MLLT1,1.1,2.9 (1.3-6.5),6.8,0.0093
GIPC3,0.42,1.5 (1.1-2.1),6.8,0.0093
CDKN1B,-0.81,0.44 (0.24-0.82),6.8,0.0093
LIX1,-0.21,0.81 (0.7-0.95),6.7,0.0094
ALB,-0.3,0.74 (0.6-0.93),6.7,0.0094
CYP27C1,-0.23,0.79 (0.66-0.94),6.7,0.0095
ZNF485,-0.54,0.58 (0.39-0.88),6.7,0.0096
NLRC4,0.31,1.4 (1.1-1.7),6.7,0.0096
MYH6,-0.24,0.78 (0.65-0.94),6.7,0.0096
LOC154761,0.26,1.3 (1.1-1.6),6.7,0.0096
SPTBN5,0.22,1.2 (1.1-1.5),6.7,0.0097
ASB9,0.36,1.4 (1.1-1.9),6.7,0.0097
MAP4K1,0.29,1.3 (1.1-1.7),6.7,0.0098
LOC222699,0.36,1.4 (1.1-1.9),6.7,0.0098
DAB2IP,-0.74,0.48 (0.27-0.84),6.7,0.0098
SMARCD3,-0.6,0.55 (0.35-0.87),6.6,0.0099
SGK269,-0.54,0.58 (0.38-0.88),6.6,0.0099
CXXC4,-0.32,0.73 (0.57-0.93),6.6,0.0099
ZIC5,0.26,1.3 (1.1-1.6),6.6,0.01
TEAD4,0.18,1.2 (1-1.4),6.6,0.01
SIGLEC1,0.18,1.2 (1-1.4),6.6,0.01
REEP2,-0.61,0.54 (0.34-0.87),6.6,0.01
PAICS,0.55,1.7 (1.1-2.6),6.6,0.01
NPEPPS,-1.1,0.35 (0.15-0.78),6.6,0.01
NES,0.29,1.3 (1.1-1.7),6.6,0.01
NELF,-0.52,0.59 (0.4-0.88),6.6,0.01
LRP4,-0.36,0.7 (0.53-0.92),6.6,0.01
KCTD4,-0.21,0.81 (0.68-0.95),6.6,0.01
GNB2L1,-0.51,0.6 (0.4-0.89),6.6,0.01
FAM195B,-0.98,0.38 (0.18-0.79),6.6,0.01
DUOX1,-0.35,0.7 (0.53-0.92),6.6,0.01
DPEP2,0.34,1.4 (1.1-1.8),6.6,0.01
CRYBB1,-0.23,0.8 (0.67-0.95),6.6,0.01
COPG,1.1,3 (1.3-6.8),6.6,0.01
CACNA2D3,-0.16,0.85 (0.75-0.96),6.6,0.01
C3,0.22,1.2 (1.1-1.5),6.6,0.01
ZNF836,0.76,2.1 (1.2-3.9),6.4,0.011
ZNF699,0.52,1.7 (1.1-2.5),6.5,0.011
X1.Sep,0.4,1.5 (1.1-2),6.5,0.011
UNC13A,-0.24,0.79 (0.66-0.95),6.5,0.011
TSC22D4,-0.45,0.64 (0.45-0.9),6.4,0.011
TMEM88,-0.47,0.62 (0.43-0.9),6.5,0.011
TBC1D3H,-0.34,0.71 (0.54-0.93),6.4,0.011
SLC38A11,0.27,1.3 (1.1-1.6),6.4,0.011
RPRD1A,-0.84,0.43 (0.23-0.83),6.4,0.011
RPLP0,-0.41,0.66 (0.48-0.91),6.4,0.011
RPGRIP1,0.36,1.4 (1.1-1.9),6.5,0.011
RAB6A,-1.1,0.32 (0.14-0.77),6.5,0.011
PTGER4,0.21,1.2 (1-1.5),6.4,0.011
PTCH2,0.29,1.3 (1.1-1.7),6.4,0.011
PABPC1,-0.42,0.66 (0.47-0.91),6.5,0.011
LOC158376,0.38,1.5 (1.1-2),6.4,0.011
LOC149837,0.26,1.3 (1.1-1.6),6.5,0.011
LILRA2,0.25,1.3 (1.1-1.6),6.4,0.011
HSP90AB1,-0.9,0.41 (0.2-0.81),6.4,0.011
GNB2,0.69,2 (1.2-3.4),6.6,0.011
FLG,-0.16,0.86 (0.76-0.96),6.5,0.011
FAM154B,0.35,1.4 (1.1-1.9),6.5,0.011
CSDAP1,0.27,1.3 (1.1-1.6),6.5,0.011
CFD,0.24,1.3 (1.1-1.5),6.5,0.011
BSG,0.65,1.9 (1.2-3.2),6.4,0.011
B3GAT1,-0.4,0.67 (0.49-0.91),6.4,0.011
AP3S2,-1,0.37 (0.17-0.8),6.4,0.011
ZNF876P,-0.32,0.72 (0.56-0.93),6.3,0.012
ZNF221,0.41,1.5 (1.1-2.1),6.3,0.012
TRIM2,-0.48,0.62 (0.43-0.9),6.3,0.012
SORBS1,-0.4,0.67 (0.49-0.91),6.4,0.012
SLC26A1,-0.44,0.64 (0.46-0.91),6.4,0.012
SIGLEC16,0.35,1.4 (1.1-1.9),6.3,0.012
RPS21,-0.65,0.52 (0.31-0.87),6.3,0.012
PPP4R1L,0.44,1.5 (1.1-2.2),6.3,0.012
POM121L9P,0.24,1.3 (1.1-1.5),6.3,0.012
MATN2,0.29,1.3 (1.1-1.7),6.2,0.012
LOC100128164,-0.41,0.67 (0.49-0.91),6.3,0.012
LGALS9C,0.29,1.3 (1.1-1.7),6.3,0.012
